"Statistic Label","CensusYear","County","Sex","UNIT","VALUE"
"Population at Each Census","1841","State","Both sexes","Number","6528799"
"Population at Each Census","1841","Carlow","Both sexes","Number","86228"
"Population at Each Census","1841","Dublin","Both sexes","Number","372773"
"Population at Each Census","1841","Kildare","Both sexes","Number","114488"
"Population at Each Census","1841","Kilkenny","Both sexes","Number","202420"
"Population at Each Census","1841","Laois","Both sexes","Number","153930"
"Population at Each Census","1841","Longford","Both sexes","Number","115491"
"Population at Each Census","1841","Louth","Both sexes","Number","128240"
"Population at Each Census","1841","Meath","Both sexes","Number","183828"
"Population at Each Census","1841","Offaly","Both sexes","Number","146857"
"Population at Each Census","1841","Westmeath","Both sexes","Number","141300"
"Population at Each Census","1841","Wexford","Both sexes","Number","202033"
"Population at Each Census","1841","Wicklow","Both sexes","Number","126143"
"Population at Each Census","1841","Clare","Both sexes","Number","286394"
"Population at Each Census","1841","Cork","Both sexes","Number","854118"
"Population at Each Census","1841","Kerry","Both sexes","Number","293880"
"Population at Each Census","1841","Limerick","Both sexes","Number","330029"
"Population at Each Census","1841","Tipperary","Both sexes","Number","435553"
"Population at Each Census","1841","Waterford","Both sexes","Number","196187"
"Population at Each Census","1841","Galway","Both sexes","Number","440198"
"Population at Each Census","1841","Leitrim","Both sexes","Number","155297"
"Population at Each Census","1841","Mayo","Both sexes","Number","388887"
"Population at Each Census","1841","Roscommon","Both sexes","Number","253591"
"Population at Each Census","1841","Sligo","Both sexes","Number","180886"
"Population at Each Census","1841","Cavan","Both sexes","Number","243158"
"Population at Each Census","1841","Donegal","Both sexes","Number","296448"
"Population at Each Census","1841","Monaghan","Both sexes","Number","200442"
"Population at Each Census","1851","State","Both sexes","Number","5111557"
"Population at Each Census","1851","Carlow","Both sexes","Number","68078"
"Population at Each Census","1851","Dublin","Both sexes","Number","405147"
"Population at Each Census","1851","Kildare","Both sexes","Number","95723"
"Population at Each Census","1851","Kilkenny","Both sexes","Number","158748"
"Population at Each Census","1851","Laois","Both sexes","Number","111664"
"Population at Each Census","1851","Longford","Both sexes","Number","82348"
"Population at Each Census","1851","Louth","Both sexes","Number","107662"
"Population at Each Census","1851","Meath","Both sexes","Number","140748"
"Population at Each Census","1851","Offaly","Both sexes","Number","112076"
"Population at Each Census","1851","Westmeath","Both sexes","Number","111407"
"Population at Each Census","1851","Wexford","Both sexes","Number","180158"
"Population at Each Census","1851","Wicklow","Both sexes","Number","98979"
"Population at Each Census","1851","Clare","Both sexes","Number","212440"
"Population at Each Census","1851","Cork","Both sexes","Number","649308"
"Population at Each Census","1851","Kerry","Both sexes","Number","238254"
"Population at Each Census","1851","Limerick","Both sexes","Number","262132"
"Population at Each Census","1851","Tipperary","Both sexes","Number","331567"
"Population at Each Census","1851","Waterford","Both sexes","Number","164035"
"Population at Each Census","1851","Galway","Both sexes","Number","321684"
"Population at Each Census","1851","Leitrim","Both sexes","Number","111897"
"Population at Each Census","1851","Mayo","Both sexes","Number","274499"
"Population at Each Census","1851","Roscommon","Both sexes","Number","173436"
"Population at Each Census","1851","Sligo","Both sexes","Number","128515"
"Population at Each Census","1851","Cavan","Both sexes","Number","174071"
"Population at Each Census","1851","Donegal","Both sexes","Number","255158"
"Population at Each Census","1851","Monaghan","Both sexes","Number","141823"
"Population at Each Census","1861","State","Both sexes","Number","4402111"
"Population at Each Census","1861","Carlow","Both sexes","Number","57137"
"Population at Each Census","1861","Dublin","Both sexes","Number","410252"
"Population at Each Census","1861","Kildare","Both sexes","Number","90946"
"Population at Each Census","1861","Kilkenny","Both sexes","Number","124515"
"Population at Each Census","1861","Laois","Both sexes","Number","90650"
"Population at Each Census","1861","Longford","Both sexes","Number","71694"
"Population at Each Census","1861","Louth","Both sexes","Number","90713"
"Population at Each Census","1861","Meath","Both sexes","Number","110373"
"Population at Each Census","1861","Offaly","Both sexes","Number","90043"
"Population at Each Census","1861","Westmeath","Both sexes","Number","90879"
"Population at Each Census","1861","Wexford","Both sexes","Number","143954"
"Population at Each Census","1861","Wicklow","Both sexes","Number","86479"
"Population at Each Census","1861","Clare","Both sexes","Number","166305"
"Population at Each Census","1861","Cork","Both sexes","Number","544818"
"Population at Each Census","1861","Kerry","Both sexes","Number","201800"
"Population at Each Census","1861","Limerick","Both sexes","Number","217277"
"Population at Each Census","1861","Tipperary","Both sexes","Number","249106"
"Population at Each Census","1861","Waterford","Both sexes","Number","134252"
"Population at Each Census","1861","Galway","Both sexes","Number","271478"
"Population at Each Census","1861","Leitrim","Both sexes","Number","104744"
"Population at Each Census","1861","Mayo","Both sexes","Number","254796"
"Population at Each Census","1861","Roscommon","Both sexes","Number","157272"
"Population at Each Census","1861","Sligo","Both sexes","Number","124845"
"Population at Each Census","1861","Cavan","Both sexes","Number","153906"
"Population at Each Census","1861","Donegal","Both sexes","Number","237395"
"Population at Each Census","1861","Monaghan","Both sexes","Number","126482"
"Population at Each Census","1871","State","Both sexes","Number","4053187"
"Population at Each Census","1871","Carlow","Both sexes","Number","51650"
"Population at Each Census","1871","Dublin","Both sexes","Number","405262"
"Population at Each Census","1871","Kildare","Both sexes","Number","83614"
"Population at Each Census","1871","Kilkenny","Both sexes","Number","109379"
"Population at Each Census","1871","Laois","Both sexes","Number","79771"
"Population at Each Census","1871","Longford","Both sexes","Number","64501"
"Population at Each Census","1871","Louth","Both sexes","Number","84021"
"Population at Each Census","1871","Meath","Both sexes","Number","95558"
"Population at Each Census","1871","Offaly","Both sexes","Number","75900"
"Population at Each Census","1871","Westmeath","Both sexes","Number","78432"
"Population at Each Census","1871","Wexford","Both sexes","Number","132666"
"Population at Each Census","1871","Wicklow","Both sexes","Number","78697"
"Population at Each Census","1871","Clare","Both sexes","Number","147864"
"Population at Each Census","1871","Cork","Both sexes","Number","517076"
"Population at Each Census","1871","Kerry","Both sexes","Number","196586"
"Population at Each Census","1871","Limerick","Both sexes","Number","191936"
"Population at Each Census","1871","Tipperary","Both sexes","Number","216713"
"Population at Each Census","1871","Waterford","Both sexes","Number","123310"
"Population at Each Census","1871","Galway","Both sexes","Number","248458"
"Population at Each Census","1871","Leitrim","Both sexes","Number","95562"
"Population at Each Census","1871","Mayo","Both sexes","Number","246030"
"Population at Each Census","1871","Roscommon","Both sexes","Number","140670"
"Population at Each Census","1871","Sligo","Both sexes","Number","115493"
"Population at Each Census","1871","Cavan","Both sexes","Number","140735"
"Population at Each Census","1871","Donegal","Both sexes","Number","218334"
"Population at Each Census","1871","Monaghan","Both sexes","Number","114969"
"Population at Each Census","1881","State","Both sexes","Number","3870020"
"Population at Each Census","1881","Carlow","Both sexes","Number","46568"
"Population at Each Census","1881","Dublin","Both sexes","Number","418910"
"Population at Each Census","1881","Kildare","Both sexes","Number","75804"
"Population at Each Census","1881","Kilkenny","Both sexes","Number","99531"
"Population at Each Census","1881","Laois","Both sexes","Number","73124"
"Population at Each Census","1881","Longford","Both sexes","Number","61009"
"Population at Each Census","1881","Louth","Both sexes","Number","77684"
"Population at Each Census","1881","Meath","Both sexes","Number","87469"
"Population at Each Census","1881","Offaly","Both sexes","Number","72852"
"Population at Each Census","1881","Westmeath","Both sexes","Number","71798"
"Population at Each Census","1881","Wexford","Both sexes","Number","123854"
"Population at Each Census","1881","Wicklow","Both sexes","Number","70386"
"Population at Each Census","1881","Clare","Both sexes","Number","141457"
"Population at Each Census","1881","Cork","Both sexes","Number","495607"
"Population at Each Census","1881","Kerry","Both sexes","Number","201039"
"Population at Each Census","1881","Limerick","Both sexes","Number","180632"
"Population at Each Census","1881","Tipperary","Both sexes","Number","199612"
"Population at Each Census","1881","Waterford","Both sexes","Number","112768"
"Population at Each Census","1881","Galway","Both sexes","Number","242005"
"Population at Each Census","1881","Leitrim","Both sexes","Number","90372"
"Population at Each Census","1881","Mayo","Both sexes","Number","245212"
"Population at Each Census","1881","Roscommon","Both sexes","Number","132490"
"Population at Each Census","1881","Sligo","Both sexes","Number","111578"
"Population at Each Census","1881","Cavan","Both sexes","Number","129476"
"Population at Each Census","1881","Donegal","Both sexes","Number","206035"
"Population at Each Census","1881","Monaghan","Both sexes","Number","102748"
"Population at Each Census","1891","State","Both sexes","Number","3468694"
"Population at Each Census","1891","Carlow","Both sexes","Number","40936"
"Population at Each Census","1891","Dublin","Both sexes","Number","419216"
"Population at Each Census","1891","Kildare","Both sexes","Number","70206"
"Population at Each Census","1891","Kilkenny","Both sexes","Number","87261"
"Population at Each Census","1891","Laois","Both sexes","Number","64883"
"Population at Each Census","1891","Longford","Both sexes","Number","52647"
"Population at Each Census","1891","Louth","Both sexes","Number","71038"
"Population at Each Census","1891","Meath","Both sexes","Number","76987"
"Population at Each Census","1891","Offaly","Both sexes","Number","65563"
"Population at Each Census","1891","Westmeath","Both sexes","Number","65109"
"Population at Each Census","1891","Wexford","Both sexes","Number","111778"
"Population at Each Census","1891","Wicklow","Both sexes","Number","62136"
"Population at Each Census","1891","Clare","Both sexes","Number","124483"
"Population at Each Census","1891","Cork","Both sexes","Number","438432"
"Population at Each Census","1891","Kerry","Both sexes","Number","179136"
"Population at Each Census","1891","Limerick","Both sexes","Number","158912"
"Population at Each Census","1891","Tipperary","Both sexes","Number","173188"
"Population at Each Census","1891","Waterford","Both sexes","Number","98251"
"Population at Each Census","1891","Galway","Both sexes","Number","214712"
"Population at Each Census","1891","Leitrim","Both sexes","Number","78618"
"Population at Each Census","1891","Mayo","Both sexes","Number","219034"
"Population at Each Census","1891","Roscommon","Both sexes","Number","114397"
"Population at Each Census","1891","Sligo","Both sexes","Number","98013"
"Population at Each Census","1891","Cavan","Both sexes","Number","111917"
"Population at Each Census","1891","Donegal","Both sexes","Number","185635"
"Population at Each Census","1891","Monaghan","Both sexes","Number","86206"
"Population at Each Census","1901","State","Both sexes","Number","3221823"
"Population at Each Census","1901","Carlow","Both sexes","Number","37748"
"Population at Each Census","1901","Dublin","Both sexes","Number","448206"
"Population at Each Census","1901","Kildare","Both sexes","Number","63566"
"Population at Each Census","1901","Kilkenny","Both sexes","Number","79159"
"Population at Each Census","1901","Laois","Both sexes","Number","57417"
"Population at Each Census","1901","Longford","Both sexes","Number","46672"
"Population at Each Census","1901","Louth","Both sexes","Number","65820"
"Population at Each Census","1901","Meath","Both sexes","Number","67497"
"Population at Each Census","1901","Offaly","Both sexes","Number","60187"
"Population at Each Census","1901","Westmeath","Both sexes","Number","61629"
"Population at Each Census","1901","Wexford","Both sexes","Number","104104"
"Population at Each Census","1901","Wicklow","Both sexes","Number","60824"
"Population at Each Census","1901","Clare","Both sexes","Number","112334"
"Population at Each Census","1901","Cork","Both sexes","Number","404611"
"Population at Each Census","1901","Kerry","Both sexes","Number","165726"
"Population at Each Census","1901","Limerick","Both sexes","Number","146098"
"Population at Each Census","1901","Tipperary","Both sexes","Number","160232"
"Population at Each Census","1901","Waterford","Both sexes","Number","87187"
"Population at Each Census","1901","Galway","Both sexes","Number","192549"
"Population at Each Census","1901","Leitrim","Both sexes","Number","69343"
"Population at Each Census","1901","Mayo","Both sexes","Number","199166"
"Population at Each Census","1901","Roscommon","Both sexes","Number","101791"
"Population at Each Census","1901","Sligo","Both sexes","Number","84083"
"Population at Each Census","1901","Cavan","Both sexes","Number","97541"
"Population at Each Census","1901","Donegal","Both sexes","Number","173722"
"Population at Each Census","1901","Monaghan","Both sexes","Number","74611"
"Population at Each Census","1911","State","Both sexes","Number","3139688"
"Population at Each Census","1911","Carlow","Both sexes","Number","36252"
"Population at Each Census","1911","Dublin","Both sexes","Number","477196"
"Population at Each Census","1911","Kildare","Both sexes","Number","66627"
"Population at Each Census","1911","Kilkenny","Both sexes","Number","74962"
"Population at Each Census","1911","Laois","Both sexes","Number","54629"
"Population at Each Census","1911","Longford","Both sexes","Number","43820"
"Population at Each Census","1911","Louth","Both sexes","Number","63665"
"Population at Each Census","1911","Meath","Both sexes","Number","65091"
"Population at Each Census","1911","Offaly","Both sexes","Number","56832"
"Population at Each Census","1911","Westmeath","Both sexes","Number","59986"
"Population at Each Census","1911","Wexford","Both sexes","Number","102273"
"Population at Each Census","1911","Wicklow","Both sexes","Number","60711"
"Population at Each Census","1911","Clare","Both sexes","Number","104232"
"Population at Each Census","1911","Cork","Both sexes","Number","392104"
"Population at Each Census","1911","Kerry","Both sexes","Number","159691"
"Population at Each Census","1911","Limerick","Both sexes","Number","143069"
"Population at Each Census","1911","Tipperary","Both sexes","Number","152433"
"Population at Each Census","1911","Waterford","Both sexes","Number","83966"
"Population at Each Census","1911","Galway","Both sexes","Number","182224"
"Population at Each Census","1911","Leitrim","Both sexes","Number","63582"
"Population at Each Census","1911","Mayo","Both sexes","Number","192177"
"Population at Each Census","1911","Roscommon","Both sexes","Number","93956"
"Population at Each Census","1911","Sligo","Both sexes","Number","79045"
"Population at Each Census","1911","Cavan","Both sexes","Number","91173"
"Population at Each Census","1911","Donegal","Both sexes","Number","168537"
"Population at Each Census","1911","Monaghan","Both sexes","Number","71455"
"Population at Each Census","1926","State","Both sexes","Number","2971992"
"Population at Each Census","1926","Carlow","Both sexes","Number","34476"
"Population at Each Census","1926","Dublin","Both sexes","Number","505654"
"Population at Each Census","1926","Kildare","Both sexes","Number","58028"
"Population at Each Census","1926","Kilkenny","Both sexes","Number","70990"
"Population at Each Census","1926","Laois","Both sexes","Number","51540"
"Population at Each Census","1926","Longford","Both sexes","Number","39847"
"Population at Each Census","1926","Louth","Both sexes","Number","62739"
"Population at Each Census","1926","Meath","Both sexes","Number","62969"
"Population at Each Census","1926","Offaly","Both sexes","Number","52592"
"Population at Each Census","1926","Westmeath","Both sexes","Number","56818"
"Population at Each Census","1926","Wexford","Both sexes","Number","95848"
"Population at Each Census","1926","Wicklow","Both sexes","Number","57591"
"Population at Each Census","1926","Clare","Both sexes","Number","95064"
"Population at Each Census","1926","Cork","Both sexes","Number","365747"
"Population at Each Census","1926","Kerry","Both sexes","Number","149171"
"Population at Each Census","1926","Limerick","Both sexes","Number","140343"
"Population at Each Census","1926","Tipperary","Both sexes","Number","141015"
"Population at Each Census","1926","Waterford","Both sexes","Number","78562"
"Population at Each Census","1926","Galway","Both sexes","Number","169366"
"Population at Each Census","1926","Leitrim","Both sexes","Number","55907"
"Population at Each Census","1926","Mayo","Both sexes","Number","172690"
"Population at Each Census","1926","Roscommon","Both sexes","Number","83556"
"Population at Each Census","1926","Sligo","Both sexes","Number","71388"
"Population at Each Census","1926","Cavan","Both sexes","Number","82452"
"Population at Each Census","1926","Donegal","Both sexes","Number","152508"
"Population at Each Census","1926","Monaghan","Both sexes","Number","65131"
"Population at Each Census","1936","State","Both sexes","Number","2968420"
"Population at Each Census","1936","Carlow","Both sexes","Number","34452"
"Population at Each Census","1936","Dublin","Both sexes","Number","586925"
"Population at Each Census","1936","Kildare","Both sexes","Number","57892"
"Population at Each Census","1936","Kilkenny","Both sexes","Number","68614"
"Population at Each Census","1936","Laois","Both sexes","Number","50109"
"Population at Each Census","1936","Longford","Both sexes","Number","37847"
"Population at Each Census","1936","Louth","Both sexes","Number","64339"
"Population at Each Census","1936","Meath","Both sexes","Number","61405"
"Population at Each Census","1936","Offaly","Both sexes","Number","51308"
"Population at Each Census","1936","Westmeath","Both sexes","Number","54706"
"Population at Each Census","1936","Wexford","Both sexes","Number","94245"
"Population at Each Census","1936","Wicklow","Both sexes","Number","58569"
"Population at Each Census","1936","Clare","Both sexes","Number","89879"
"Population at Each Census","1936","Cork","Both sexes","Number","355957"
"Population at Each Census","1936","Kerry","Both sexes","Number","139834"
"Population at Each Census","1936","Limerick","Both sexes","Number","141153"
"Population at Each Census","1936","Tipperary","Both sexes","Number","137835"
"Population at Each Census","1936","Waterford","Both sexes","Number","77614"
"Population at Each Census","1936","Galway","Both sexes","Number","168198"
"Population at Each Census","1936","Leitrim","Both sexes","Number","50908"
"Population at Each Census","1936","Mayo","Both sexes","Number","161349"
"Population at Each Census","1936","Roscommon","Both sexes","Number","77566"
"Population at Each Census","1936","Sligo","Both sexes","Number","67447"
"Population at Each Census","1936","Cavan","Both sexes","Number","76670"
"Population at Each Census","1936","Donegal","Both sexes","Number","142310"
"Population at Each Census","1936","Monaghan","Both sexes","Number","61289"
"Population at Each Census","1946","State","Both sexes","Number","2955107"
"Population at Each Census","1946","Carlow","Both sexes","Number","34081"
"Population at Each Census","1946","Dublin","Both sexes","Number","636193"
"Population at Each Census","1946","Kildare","Both sexes","Number","64849"
"Population at Each Census","1946","Kilkenny","Both sexes","Number","66712"
"Population at Each Census","1946","Laois","Both sexes","Number","49697"
"Population at Each Census","1946","Longford","Both sexes","Number","36218"
"Population at Each Census","1946","Louth","Both sexes","Number","66194"
"Population at Each Census","1946","Meath","Both sexes","Number","66232"
"Population at Each Census","1946","Offaly","Both sexes","Number","53686"
"Population at Each Census","1946","Westmeath","Both sexes","Number","54949"
"Population at Each Census","1946","Wexford","Both sexes","Number","91855"
"Population at Each Census","1946","Wicklow","Both sexes","Number","60451"
"Population at Each Census","1946","Clare","Both sexes","Number","85064"
"Population at Each Census","1946","Cork","Both sexes","Number","343668"
"Population at Each Census","1946","Kerry","Both sexes","Number","133893"
"Population at Each Census","1946","Limerick","Both sexes","Number","142559"
"Population at Each Census","1946","Tipperary","Both sexes","Number","136014"
"Population at Each Census","1946","Waterford","Both sexes","Number","76108"
"Population at Each Census","1946","Galway","Both sexes","Number","165201"
"Population at Each Census","1946","Leitrim","Both sexes","Number","44591"
"Population at Each Census","1946","Mayo","Both sexes","Number","148120"
"Population at Each Census","1946","Roscommon","Both sexes","Number","72510"
"Population at Each Census","1946","Sligo","Both sexes","Number","62375"
"Population at Each Census","1946","Cavan","Both sexes","Number","70355"
"Population at Each Census","1946","Donegal","Both sexes","Number","136317"
"Population at Each Census","1946","Monaghan","Both sexes","Number","57215"
"Population at Each Census","1951","State","Both sexes","Number","2960593"
"Population at Each Census","1951","Carlow","Both sexes","Number","34162"
"Population at Each Census","1951","Dublin","Both sexes","Number","693022"
"Population at Each Census","1951","Kildare","Both sexes","Number","66437"
"Population at Each Census","1951","Kilkenny","Both sexes","Number","65235"
"Population at Each Census","1951","Laois","Both sexes","Number","48430"
"Population at Each Census","1951","Longford","Both sexes","Number","34553"
"Population at Each Census","1951","Louth","Both sexes","Number","68771"
"Population at Each Census","1951","Meath","Both sexes","Number","66337"
"Population at Each Census","1951","Offaly","Both sexes","Number","52544"
"Population at Each Census","1951","Westmeath","Both sexes","Number","54463"
"Population at Each Census","1951","Wexford","Both sexes","Number","90032"
"Population at Each Census","1951","Wicklow","Both sexes","Number","62590"
"Population at Each Census","1951","Clare","Both sexes","Number","81329"
"Population at Each Census","1951","Cork","Both sexes","Number","341284"
"Population at Each Census","1951","Kerry","Both sexes","Number","126644"
"Population at Each Census","1951","Limerick","Both sexes","Number","141239"
"Population at Each Census","1951","Tipperary","Both sexes","Number","133313"
"Population at Each Census","1951","Waterford","Both sexes","Number","75061"
"Population at Each Census","1951","Galway","Both sexes","Number","160204"
"Population at Each Census","1951","Leitrim","Both sexes","Number","41209"
"Population at Each Census","1951","Mayo","Both sexes","Number","141867"
"Population at Each Census","1951","Roscommon","Both sexes","Number","68102"
"Population at Each Census","1951","Sligo","Both sexes","Number","60513"
"Population at Each Census","1951","Cavan","Both sexes","Number","66377"
"Population at Each Census","1951","Donegal","Both sexes","Number","131530"
"Population at Each Census","1951","Monaghan","Both sexes","Number","55345"
"Population at Each Census","1956","State","Both sexes","Number","2898264"
"Population at Each Census","1956","Carlow","Both sexes","Number","33888"
"Population at Each Census","1956","Dublin","Both sexes","Number","705781"
"Population at Each Census","1956","Kildare","Both sexes","Number","65915"
"Population at Each Census","1956","Kilkenny","Both sexes","Number","64089"
"Population at Each Census","1956","Laois","Both sexes","Number","47087"
"Population at Each Census","1956","Longford","Both sexes","Number","32969"
"Population at Each Census","1956","Louth","Both sexes","Number","69194"
"Population at Each Census","1956","Meath","Both sexes","Number","66762"
"Population at Each Census","1956","Offaly","Both sexes","Number","51970"
"Population at Each Census","1956","Westmeath","Both sexes","Number","54122"
"Population at Each Census","1956","Wexford","Both sexes","Number","87259"
"Population at Each Census","1956","Wicklow","Both sexes","Number","59906"
"Population at Each Census","1956","Clare","Both sexes","Number","77176"
"Population at Each Census","1956","Cork","Both sexes","Number","336663"
"Population at Each Census","1956","Kerry","Both sexes","Number","122072"
"Population at Each Census","1956","Limerick","Both sexes","Number","137881"
"Population at Each Census","1956","Tipperary","Both sexes","Number","129415"
"Population at Each Census","1956","Waterford","Both sexes","Number","74031"
"Population at Each Census","1956","Galway","Both sexes","Number","155553"
"Population at Each Census","1956","Leitrim","Both sexes","Number","37056"
"Population at Each Census","1956","Mayo","Both sexes","Number","133052"
"Population at Each Census","1956","Roscommon","Both sexes","Number","63710"
"Population at Each Census","1956","Sligo","Both sexes","Number","56850"
"Population at Each Census","1956","Cavan","Both sexes","Number","61740"
"Population at Each Census","1956","Donegal","Both sexes","Number","122059"
